Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature_diff,Power_estimate,Tool_wear_normalized,Torque_speed_ratio,Type_encoded
0.2391304347826022,0.3209876543209944,0.2463083284111045,0.39525139664804465,0.12648221343873517,0.7111111111111119,0.4674422619918325,0.12648221343873517,0.31866280027380517,0.5
0.1521739130434696,0.2592592592592595,0.28233904311872415,0.4189944134078213,0.9407114624505928,0.7777777777777806,0.5250555738070517,0.9407114624505929,0.32304867227908224,0.5
0.5543478260869534,0.49382716049382935,0.21618428824571767,0.5293296089385474,0.5019762845849802,0.3777777777777829,0.6238942191250633,0.5019762845849802,0.434288527090699,0.5
0.4021739130434767,0.5802469135802468,0.19846426461901945,0.4148044692737429,0.18972332015810275,0.8444444444444363,0.460736236040603,0.18972332015810275,0.35275608480080173,0.5
0.5760869565217348,0.7407407407407405,0.3343177790903721,0.3533519553072625,0.2845849802371541,0.7777777777777677,0.46384645083007014,0.2845849802371542,0.26019085375864515,0.5
0.7717391304347743,0.7530864197530889,0.2297696396928529,0.3756983240223464,0.19367588932806323,0.4000000000000099,0.4302611669180577,0.19367588932806323,0.30991157077127107,1.0
0.4999999999999929,0.48148148148148806,0.11577082102776137,0.5558659217877094,0.07905138339920947,0.4666666666666781,0.5683395961276987,0.07905138339920949,0.5149303386889341,1.0
0.7499999999999929,0.5802469135802468,0.17011222681630245,0.5991620111731844,0.6600790513833992,0.13333333333333663,0.671434703474472,0.6600790513833992,0.5161335942497531,1.0
0.8695652173913047,0.7283950617283992,0.0785587714116952,0.5656424581005586,0.8656126482213438,0.15555555555556366,0.5457203972058425,0.8656126482213439,0.5501147545809969,0.5
0.5543478260869534,0.5925925925925952,0.28115770821027763,0.3743016759776536,0.16205533596837943,0.5555555555555609,0.461148693206207,0.16205533596837945,0.29108300212079896,1.0
0.1630434782608674,0.2592592592592595,0.23922031896042528,0.44413407821229045,0.4980237154150197,0.7555555555555535,0.5287197281619519,0.4980237154150198,0.3583249059332372,0.5
0.4130434782608674,0.3580246913580325,0.054341405788541075,0.7430167597765363,0.6007905138339921,0.4222222222222245,0.7154141477603815,0.6007905138339921,0.7366165641505267,0.5
0.4347826086956488,0.3827160493827222,0.3567631423508565,0.2877094972067039,0.3517786561264822,0.4222222222222245,0.3776117291307466,0.35177865612648224,0.20989930023038456,0.5
0.7934782608695627,0.7654320987654302,0.2746603662138216,0.3673184357541899,0.3517786561264822,0.37777777777777044,0.4472174728365782,0.35177865612648224,0.2881287658711073,0.5
0.5543478260869534,0.49382716049382935,0.2457176609568813,0.3910614525139665,0.28063241106719367,0.3777777777777829,0.46135012577545564,0.28063241106719367,0.3157291647999591,0.5
0.6956521739130395,0.6419753086419746,0.27643236857649145,0.3729050279329609,0.1660079051383399,0.35555555555555585,0.45617522715119196,0.16600790513833993,0.2916200509762584,0.5
0.6956521739130395,0.5432098765432158,0.15534554046072058,0.5502793296089384,0.24110671936758893,0.17777777777779047,0.5971444535302257,0.24110671936758893,0.4849168008383465,1.0
0.1630434782608674,0.2839506172839492,0.2173656231541642,0.4999999999999999,0.8577075098814229,0.7999999999999947,0.5862383187094886,0.857707509881423,0.41093685413227976,0.5
0.5434782608695627,0.518518518518519,0.23744831659775545,0.4106145251396648,0.12252964426877469,0.44444444444443865,0.4822319687875438,0.1225296442687747,0.33362227167627395,0.5
0.3478260869565162,0.48148148148148806,0.14825753101004135,0.51536312849162,0.4150197628458498,0.7777777777777806,0.5482790704366531,0.4150197628458498,0.45992567673284745,0.5
0.10869565217390686,0.17283950617284205,0.3579444772593029,0.29748603351955305,0.608695652173913,0.7111111111111119,0.39310525091543913,0.6086956521739131,0.21619883984133004,0.0
0.4130434782608674,0.308641975308646,0.14235085646780865,0.5837988826815642,0.04743083003952569,0.3333333333333288,0.6260835993122517,0.04743083003952569,0.5212512060845756,0.5
0.3913043478260789,0.4320987654321016,0.14412285883047837,0.5516759776536313,0.5533596837944663,0.6000000000000025,0.5888137779877366,0.5533596837944664,0.49298045517789685,1.0
0.8369565217391255,0.864197530864196,0.11399881866509154,0.6173184357541899,0.4743083003952569,0.4666666666666657,0.6385436425243338,0.4743083003952569,0.5699232986728945,0.5
0.7499999999999929,0.7407407407407405,0.18901358535144708,0.5586592178770949,0.7035573122529644,0.4222222222222245,0.6379201607623745,0.7035573122529645,0.47202651321392686,0.5
0.7173913043478208,0.6419753086419746,0.17011222681630245,0.5446927374301676,0.17786561264822134,0.31111111111111467,0.6033504950684991,0.17786561264822134,0.47155951151996517,1.0
0.6956521739130395,0.6296296296296333,0.251624335499114,0.388268156424581,0.8063241106719367,0.3333333333333417,0.46143645401941913,0.8063241106719368,0.3114926224071808,1.0
0.8260869565217348,0.8024691358024683,0.23803898405197876,0.5027932960893855,0.5494071146245059,0.3777777777777829,0.6069594952675337,0.549407114624506,0.4033041059854297,0.5
0.7717391304347743,0.7037037037037024,0.2008269344359126,0.5111731843575419,0.23715415019762845,0.31111111111111467,0.5871399692575532,0.23715415019762845,0.42789188670609846,1.0
0.8804347826086882,0.7407407407407405,0.14057885410513882,0.5935754189944134,0.8418972332015809,0.15555555555556366,0.636215177944093,0.841897233201581,0.5307054840810023,0.5
0.45652173913043015,0.44444444444444997,0.43354991139988186,0.270949720670391,0.5968379446640316,0.4888888888888927,0.3895250267977257,0.5968379446640316,0.1832250826546073,1.0
0.25,0.46913580246913966,0.12108682811577076,0.6424581005586592,0.21739130434782608,0.9555555555555457,0.6751971761072197,0.21739130434782608,0.5865246340783142,0.5
0.5652173913043441,0.7283950617283992,0.3402244536326048,0.3100558659217877,0.37154150197628455,0.7777777777777806,0.40260855177176735,0.3715415019762846,0.2289657740381631,0.5
0.28260869565216495,0.2962962962963047,0.21441228588304784,0.5055865921787709,0.007905138339920948,0.5777777777777879,0.5911590286154148,0.007905138339920948,0.4167140324467408,0.5
0.2717391304347814,0.24691358024691112,0.13290017720023628,0.4664804469273742,0.11462450592885375,0.5111111111111069,0.47688441367535306,0.11462450592885376,0.4271979324701035,0.5
0.22826086956521152,0.3209876543209944,0.17542823390431184,0.5223463687150838,0.05138339920948616,0.7333333333333389,0.5799507449408052,0.05138339920948617,0.45032372729131936,0.5
0.7173913043478208,0.6049382716049436,0.054341405788541075,0.8561452513966481,0.11462450592885375,0.2444444444444589,0.8377844335788093,0.11462450592885376,0.8435943627019035,1.0
0.5978260869565162,0.6666666666666714,0.2014176018901358,0.4022346368715083,0.6798418972332015,0.6000000000000025,0.4465088618340435,0.6798418972332015,0.34157354563865516,0.5
0.2391304347826022,0.3580246913580325,0.18783225044300056,0.5768156424581005,0.308300395256917,0.7777777777777806,0.66001299719673,0.308300395256917,0.48725588934295644,1.0
0.2391304347826022,0.3209876543209944,0.2681630242173656,0.45530726256983245,0.40711462450592883,0.7111111111111119,0.5656634205648267,0.40711462450592883,0.3548994031269284,1.0
0.38043478260869534,0.3950617283950635,0.2120496160661547,0.388268156424581,0.7470355731225296,0.5555555555555485,0.4354084884643883,0.7470355731225297,0.32633391207260604,0.5
0.9130434782608674,0.8888888888888857,0.21500295333727115,0.5125698324022345,0.12648221343873517,0.35555555555555585,0.6008325879528936,0.12648221343873517,0.42185569402347556,1.0
0.7173913043478208,0.6172839506172849,0.3242764323685764,0.3100558659217877,0.1067193675889328,0.26666666666667327,0.39393256325342374,0.1067193675889328,0.23298702303126612,0.5
0.7717391304347743,0.7777777777777786,0.2008269344359126,0.4511173184357541,0.01976284584980237,0.4444444444444515,0.5093917935412086,0.019762845849802372,0.38044078537393455,0.5
0.44565217391303946,0.4074074074074119,0.45540460720614295,0.21229050279329612,0.8063241106719367,0.4444444444444515,0.30252773894339036,0.8063241106719368,0.14317275818337158,1.0
0.6086956521739069,0.6172839506172849,0.05906674542232726,0.7220670391061451,0.6363636363636364,0.4888888888888927,0.6981532949812117,0.6363636363636364,0.7121146194809899,1.0
0.35869565217391397,0.4320987654321016,0.08446544595392791,0.5865921787709497,0.17391304347826086,0.6666666666666583,0.5747063041200156,0.17391304347826086,0.5647545562849979,1.0
0.6739130434782581,0.6666666666666714,0.5363260484347313,0.19692737430167598,0.40711462450592883,0.4444444444444515,0.30767146347955576,0.40711462450592883,0.12314129734231075,0.5
0.4782608695652115,0.6049382716049436,0.29946839929119906,0.3729050279329609,0.5098814229249011,0.7333333333333389,0.4708114615131903,0.5098814229249012,0.2842071189709397,0.5
